Date,Open,High,Low,Close,Volume
2019-09-19,9881.43,10305.58,9828.59,10254.92,1.051048
2019-09-20,10214.31,10233.53,10078.91,10171.06,6.916184
2019-09-21,10169.44,10169.44,9940.27,9998.87,3.053031
2019-09-22,9928.07,10050.12,9874.3,10010.53,1.797653
2019-09-23,10037.7,10037.7,9612.75,9706.93,28.145778
2019-09-24,9675.42,9783.1,1800.0,8499.75,65.020525
2019-09-25,8558.92,8728.04,8225.58,8436.75,30.059526
2019-09-26,8415.14,8461.31,7200.0,8067.78,77.137854
2019-09-27,8067.78,8257.25,7853.53,8187.15,20.750945
2019-09-28,8187.15,8319.86,8016.75,8206.39,24.099766
2019-09-29,8159.65,8167.83,7911.75,8064.0,15.71953
2019-09-30,8045.91,8346.43,7719.48,8263.5,44.652749
2019-10-01,8297.79,8503.08,8182.04,8308.0,73.120773
2019-10-02,8296.82,8378.05,8169.0,8368.29,30.803361
2019-10-03,8371.98,8400.0,8085.71,8237.25,18.558607
2019-10-04,8232.01,8237.22,8013.23,8176.66,10.068036
2019-10-05,8144.23,8190.52,8028.39,8118.26,10.948656
2019-10-06,8130.94,8158.52,7793.53,7848.27,22.826874
2019-10-07,7829.06,8290.04,7793.52,8237.68,41.409387
2019-10-08,8217.83,8325.58,8114.65,8185.61,22.099533
2019-10-09,8196.59,8662.59,8129.69,8581.34,57.824688
2019-10-10,8587.06,8650.91,8458.53,8576.0,32.459087
2019-10-11,8564.94,8798.63,8234.82,8261.18,61.820489
2019-10-12,8267.51,8410.74,8261.76,8304.69,39.604237
2019-10-13,8302.89,8455.22,8159.96,8281.1,105.319937
2019-10-14,8275.21,8388.71,8214.42,8352.73,128.874758
2019-10-15,8352.74,8409.44,8100.0,8163.65,126.545204
2019-10-16,8163.65,8178.48,7911.2,7999.98,165.89398
2019-10-17,7999.49,8114.27,7939.55,8074.53,64.413256
2019-10-18,8075.8,8119.87,7825.01,7952.4,192.751137
2019-10-19,7953.87,8100.0,7880.0,7950.66,308.703054
2019-10-20,7951.76,8316.2,7876.3,8232.05,335.747334
2019-10-21,8232.22,8330.0,8153.0,8212.88,211.694024
2019-10-22,8212.88,8300.0,8005.0,8027.83,202.784022
2019-10-23,8026.0,8050.86,7299.66,7470.38,363.499628
2019-10-24,7469.85,7510.48,7344.18,7424.77,210.354106
2019-10-25,7422.75,8770.0,7392.81,8666.87,787.253691
2019-10-26,8666.92,10350.0,8655.0,9250.53,1595.119016
2019-10-27,9248.83,9800.0,9095.83,9550.78,932.156025
2019-10-28,9550.78,9928.09,9195.0,9224.16,595.658129
2019-10-29,9219.37,9545.8,9100.01,9420.66,591.516653
2019-10-30,9420.66,9426.31,9000.0,9155.44,486.374578
2019-10-31,9168.41,9415.66,8950.0,9147.08,549.205067
2019-11-01,9146.96,9289.99,9050.29,9231.53,479.212346
2019-11-02,9239.96,9382.39,9200.0,9301.75,341.459967
2019-11-03,9300.49,9371.31,9073.07,9199.53,307.465586
2019-11-04,9205.31,9524.41,9125.68,9407.32,830.949564
2019-11-05,9408.14,9466.52,9180.0,9315.62,854.344521
2019-11-06,9315.74,9437.63,9254.0,9337.55,521.040295
2019-11-07,9337.55,9365.38,9090.0,9207.51,406.777903
2019-11-08,9202.2,9240.0,8661.63,8768.56,594.568744
2019-11-09,8766.68,8867.26,8718.28,8810.62,240.227771
2019-11-10,8805.0,9125.0,8750.0,9040.02,267.236819
2019-11-11,9040.46,9067.98,8611.99,8717.26,357.554264
2019-11-12,8714.98,8850.51,8560.8,8795.45,424.274111
2019-11-13,8795.46,8813.99,8700.0,8761.74,275.066981
2019-11-14,8765.27,8780.8,8563.51,8629.52,249.601021
2019-11-15,8629.47,8755.0,8376.71,8458.59,325.236178
2019-11-16,8457.26,8523.35,8423.77,8475.14,147.164449
2019-11-17,8480.67,8615.0,8367.16,8499.02,226.033411
2019-11-18,8499.82,8499.82,8041.31,8170.35,368.06472
2019-11-19,8169.34,8192.02,8000.0,8119.08,306.201174
2019-11-20,8119.08,8213.46,8023.0,8081.13,188.520152
2019-11-21,8079.14,8110.92,7400.0,7617.85,414.992437
2019-11-22,7616.87,7707.41,6789.75,7280.03,1112.929458
2019-11-23,7278.88,7345.0,7094.5,7315.93,543.101566
2019-11-24,7326.39,7335.74,6868.99,6909.78,1122.792371
2019-11-25,6904.65,7368.38,6517.89,7122.01,715.140453
2019-11-26,7116.77,7338.63,7021.43,7156.49,374.827968
2019-11-27,7155.3,7657.01,6852.0,7524.93,652.334103
2019-11-28,7518.98,7644.31,7349.99,7426.04,452.325311
2019-11-29,7424.23,7855.17,7404.49,7746.69,478.743301
2019-11-30,7742.98,7809.54,7456.61,7549.51,284.967859
2019-12-01,7543.39,7543.39,7230.0,7396.02,705.402303
2019-12-02,7400.73,7422.47,7165.62,7300.84,455.414743
2019-12-03,7300.77,7401.05,7242.58,7295.26,308.563171
2019-12-04,7294.76,7732.84,7082.1,7191.4,857.316411
2019-12-05,7193.47,7483.96,7157.01,7389.8,529.053909
2019-12-06,7391.97,7596.36,7306.0,7534.87,492.922769
2019-12-07,7533.48,7621.48,7482.14,7496.7,236.188497
2019-12-08,7496.05,7575.58,7387.46,7518.87,198.347623
2019-12-09,7520.4,7649.33,7276.49,7339.49,474.497252
2019-12-10,7339.47,7398.96,7162.0,7223.92,394.117838
2019-12-11,7223.52,7266.12,7126.22,7194.36,291.205484
2019-12-12,7195.48,7282.37,7073.38,7186.86,373.296964
2019-12-13,7188.37,7292.8,7180.0,7248.97,327.60037
2019-12-14,7249.51,7264.0,7006.46,7058.15,440.413766
2019-12-15,7057.62,7195.47,7003.93,7110.0,334.641797
2019-12-16,7112.72,7135.18,6822.58,6879.65,557.931427
2019-12-17,6879.67,6930.13,6551.07,6614.17,755.220029
2019-12-18,6616.65,7445.78,6430.2,7280.0,1252.422813
2019-12-19,7285.25,7370.0,7045.02,7148.01,480.117194
2019-12-20,7149.75,7213.47,7078.8,7187.52,381.912177
2019-12-21,7188.0,7189.64,7114.66,7134.5,200.077639
2019-12-22,7134.5,7520.0,7125.0,7504.47,510.705755
2019-12-23,7511.99,7688.82,7267.1,7316.11,720.533361
2019-12-24,7312.76,7419.98,7155.41,7250.12,531.731345
2019-12-25,7248.35,7256.79,7111.68,7192.07,308.12731
2019-12-26,7193.86,7415.21,7149.41,7192.39,388.39912
2019-12-27,7192.38,7247.93,7060.0,7240.0,240.823991
2019-12-28,7239.99,7343.02,7234.65,7292.62,184.80291
2019-12-29,7292.62,7513.76,7272.74,7384.92,265.688771
2019-12-30,7384.02,7384.02,7200.0,7222.77,246.497383
2019-12-31,7223.75,7297.6,7121.44,7168.84,172.952056
2020-01-01,7169.12,7231.86,7151.58,7176.58,93.548672
2020-01-02,7177.13,7185.03,6900.0,6945.33,311.705653
2020-01-03,6944.41,7393.5,6853.79,7329.2,655.633576
2020-01-04,7330.91,7388.0,7263.55,7346.2,299.060756
2020-01-05,7346.2,7486.66,7315.0,7351.42,363.286518
2020-01-06,7349.84,7794.98,7343.29,7755.1,556.563567
2020-01-07,7757.48,8204.71,7730.0,8154.74,1019.907075
2020-01-08,8150.58,8459.66,7825.0,8047.67,1249.764389
2020-01-09,8045.25,8045.25,7750.0,7812.32,650.156647
2020-01-10,7810.15,8195.36,7669.25,8195.36,981.226436
2020-01-11,8195.91,8283.57,8002.09,8015.89,591.684377
2020-01-12,8014.12,8180.08,7960.73,8180.08,462.970932
2020-01-13,8180.34,8188.69,8046.02,8101.69,302.221845
2020-01-14,8101.68,8880.0,8101.68,8809.38,1412.044422
2020-01-15,8810.87,8899.0,8558.69,8813.85,1078.590257
2020-01-16,8813.82,8844.56,8581.81,8710.19,640.945445
2020-01-17,8709.23,9009.68,8661.63,8888.52,1150.207271
2020-01-18,8893.76,8973.91,8800.0,8909.19,824.07572
2020-01-19,8906.67,9185.0,8480.0,8690.65,998.247562
2020-01-20,8690.66,8730.79,8509.48,8626.06,708.718632
2020-01-21,8628.7,8765.74,8472.81,8721.25,629.499698
2020-01-22,8720.95,8792.44,8568.37,8660.0,457.065926
2020-01-23,8654.87,8664.28,8280.0,8385.72,963.106305
2020-01-24,8386.86,8509.7,8218.62,8424.81,843.214415
2020-01-25,8424.24,8434.14,8252.68,8322.75,639.871432
