Date,Open,High,Low,Close,Volume
2019-10-21,175.0,177.89,171.87,174.29,460.13617
2019-10-22,174.24,175.13,170.34,171.31,647.82578
2019-10-23,171.24,171.53,153.36,162.46,1130.90732
2019-10-24,162.34,163.5,158.44,161.0,808.86735
2019-10-25,161.02,186.73,161.0,181.74,1762.18861
2019-10-26,182.39,196.94,174.2,180.03,1427.23093
2019-10-27,180.19,188.94,105.0,184.18,525.94096
2019-10-28,184.0,189.86,180.84,182.01,1083.69522
2019-10-29,181.98,192.88,181.98,189.87,2307.75419
2019-10-30,189.49,191.85,180.04,183.38,960.03865
2019-10-31,183.57,185.19,177.86,182.37,988.41607
2019-11-01,182.25,184.49,177.39,182.88,716.41249
2019-11-02,183.21,185.72,181.81,182.8,482.73493
2019-11-03,183.0,184.85,179.33,181.78,362.04264
2019-11-04,181.74,188.58,180.61,186.11,711.69108
2019-11-05,185.95,191.99,182.64,188.65,904.20721
2019-11-06,188.69,194.32,188.09,191.08,733.93293
2019-11-07,191.2,191.99,184.49,186.44,1328.3299
2019-11-08,186.45,187.96,181.0,183.56,818.31076
2019-11-09,183.57,185.54,182.47,185.04,693.41431
2019-11-10,184.85,191.52,183.31,189.04,589.05567
2019-11-11,188.88,190.0,183.82,184.61,807.45034
2019-11-12,184.61,187.05,182.0,186.76,1113.94685
2019-11-13,186.76,189.25,184.99,187.76,455.87323
2019-11-14,187.91,188.22,182.81,184.49,494.80147
2019-11-15,184.44,186.32,177.21,179.69,793.85802
2019-11-16,179.64,183.1,178.96,182.37,320.45116
2019-11-17,182.43,185.87,180.11,183.72,399.02241
2019-11-18,183.57,183.72,174.18,177.89,655.85155
2019-11-19,177.45,178.01,172.46,175.6,561.45539
2019-11-20,175.4,177.02,173.34,174.33,468.00091
2019-11-21,174.1,175.32,156.92,160.65,1627.00145
2019-11-22,160.9,162.51,137.82,149.76,2922.38088
2019-11-23,149.88,154.31,146.42,151.85,1463.36061
2019-11-24,152.0,152.83,139.15,140.02,602.91019
2019-11-25,140.09,151.3,131.66,145.87,2540.45086
